DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2022-12-11 20:16:10",INFO,--,"Save type: paid - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_PAID_TEST / Id Order State: 20",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: paid - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_REFUND / Id Order State: 7",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: refund - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_REFUND_TEST / Id Order State: 21",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: refund - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_PENDING / Id Order State: 23",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: pending - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Sandbox key : PAYPLUG_ORDER_STATE_PENDING_TEST / Id Order State: 22",170,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: pending - result: ok",173,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Live key : PAYPLUG_ORDER_STATE_ERROR / Id Order State: 8",161,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
"2022-12-11 20:16:10",INFO,--,"Save type: error - result: ok",164,"C:\wamp64\www\prestashop\modules\payplug\src\repositories\InstallRepository.php"
